"name";"rule"
"Netto_Omzet_minus_accijnzen_ap";"PS.Netto_Omzet_minus_accijnzen >= 0.95 * Echt.Netto_Omzet_minus_accijnzen - 50"
"Omzet_Industrieel_minus_accijnzen_ap";"PS.Omzet_Industrieel_minus_accijnzen >= 0.95 * Echt.Omzet_Industrieel_minus_accijnzen - 50"
"Omzet_Handel_en_Overig_ap";"PS.Omzet_Handel_en_Overig >= 0.95 * Echt.Omzet_Handel_en_Overig - 50"
"Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten_ap";"PS.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.95 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten - 50"
"Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten_ap";"PS.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.95 * Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten - 50"
"Omzet_Industriele_Diensten_ap";"PS.Omzet_Industriele_Diensten >= 0.95 * Echt.Omzet_Industriele_Diensten - 50"
"Werknemers_in_vte_Gemiddeld_ap";"PS.Werknemers_in_vte_Gemiddeld >= 0.95 * Echt.Werknemers_in_vte_Gemiddeld - 2"
"Productie_SFO_ap";"PS.Productie_SFO >= 0.95 * Echt.Productie_SFO - 50"
"Subsidies_ap";"PS.Subsidies >= 0.95 * Echt.Subsidies - 50"
"Afschrijvingen_excl_die_op_operational_lease_ap";"PS.Afschrijvingen_excl_die_op_operational_lease >= 0.95 * Echt.Afschrijvingen_excl_die_op_operational_lease - 50"
"Afschrijvingen_op_operational_Lease_ap";"PS.Afschrijvingen_op_operational_Lease >= 0.95 * Echt.Afschrijvingen_op_operational_Lease - 50"
"Arbeidskosten_ap";"PS.Arbeidskosten >= 0.95 * Echt.Arbeidskosten - 50"
"Lonen_ap";"PS.Lonen >= 0.95 * Echt.Lonen - 50"
"Sociale_lasten_ap";"PS.Sociale_lasten >= 0.95 * Echt.Sociale_lasten - 50"
"Pensioenlasten_ap";"PS.Pensioenlasten >= 0.95 * Echt.Pensioenlasten - 50"
"Overige_personeelskosten_ap";"PS.Overige_personeelskosten >= 0.95 * Echt.Overige_personeelskosten - 50"
