"industry";"gk1";"softvar";"rule";"name"
"107";"4";"S1";"if (S1 == 0) Echt.Arbeidskosten >= 1.02 * Echt.Lonen + -25.85";"S1_1"
"107";"4";"S1";"if (S1 == 0) Echt.Arbeidskosten <= 1.56 * Echt.Lonen + 26.45";"S1_2"
"107";"4";"S2";"if (S2 == 0) Echt.Lonen >= 0.63 * Echt.Arbeidskosten + -25.05";"S2_1"
"107";"4";"S2";"if (S2 == 0) Echt.Lonen <= 0.93 * Echt.Arbeidskosten + 26.34";"S2_2"
"107";"4";"S3";"if (S3 == 0) Echt.Netto_Omzet_minus_accijnzen >= 0.97 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -19.67";"S3_1"
"107";"4";"S3";"if (S3 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.04 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 19.36";"S3_2"
"107";"4";"S4";"if (S4 == 0) Echt.Netto_Omzet_minus_accijnzen >= 0.86 * Echt.Productie_SFO + -105.57";"S4_1"
"107";"4";"S4";"if (S4 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.11 * Echt.Productie_SFO + 102.7";"S4_2"
"107";"4";"S5";"if (S5 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.96 * Echt.Netto_Omzet_minus_accijnzen + -20.26";"S5_1"
"107";"4";"S5";"if (S5 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.03 * Echt.Netto_Omzet_minus_accijnzen + 20.6";"S5_2"
"107";"4";"S6";"if (S6 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.86 * Echt.Productie_SFO + -108.12";"S6_1"
"107";"4";"S6";"if (S6 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.11 * Echt.Productie_SFO + 105.86";"S6_2"
"107";"4";"S7";"if (S7 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.57 * Echt.Netto_Omzet_minus_accijnzen + -224.18";"S7_1"
"107";"4";"S7";"if (S7 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.33 * Echt.Netto_Omzet_minus_accijnzen + 229.49";"S7_2"
"107";"4";"S8";"if (S8 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.55 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -211.05";"S8_1"
"107";"4";"S8";"if (S8 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.35 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 215.89";"S8_2"
