variable;weight;source
AFSCHRG110000;5;PS
BEDRLST340900;4;PS
BEDRLST345100;5;PS
BEDRLST345200;5;PS
BEDRLST345500;3;PS
BEDRLST345600;3;PS
BEDRLST345700;3;PS
BEDRLST345900;3;PS
BEDRLST349610;3;PS
IMPAIRM100000;6;PS
INKWRDE100000;4;PS
LOONSOM110002;1;PS
LOONSOM121100;2;PS
LOONSOM121200;3;PS
LOONSOM122000;3;PS
OMZETPS210000;5;PS
OMZETPS210002;4;PS
OMZETPS211100;;PS
OMZETPS211150;1;PS
OMZETPS211200;;PS
OMZETPS211250;2;PS
PERSONS110100;2;PS
PERSONS111000;3;PS
RESULTS120000;6;PS
SUBSIDI140000;2;PS
VOORZNG101000;6;PS
